entrynum,smiles,pka_type,pka_value,temp,remarks,method,ref,ref_remarks,entry_remarks,original_iupac_name,original_iupac_nickname,source,uniqueid,pressure,acidity_label
3086,NCC(=O)N[C@@H](CC(N)=O)C(=O)O,pKAH1,2.9436,35,"(m), I=0.01 to 0.03",E1a,K29,Thermodynamic quantities are derived from the results,,"asparagine, glycyl-",,perrin,perrin3086,,AH
3086,NCC(=O)N[C@@H](CC(N)=O)C(=O)O,pKAH1,2.9469,40,"(m), I=0.01 to 0.03",E1a,K29,Thermodynamic quantities are derived from the results,,"asparagine, glycyl-",,perrin,perrin3086,,AH
3086,NCC(=O)N[C@@H](CC(N)=O)C(=O)O,pKAH1,2.9538,45,"(m), I=0.01 to 0.03",E1a,K29,Thermodynamic quantities are derived from the results,,"asparagine, glycyl-",,perrin,perrin3086,,AH
3086,NCC(=O)N[C@@H](CC(N)=O)C(=O)O,pKAH1,2.959,50,"(m), I=0.01 to 0.03",E1a,K29,Thermodynamic quantities are derived from the results,,"asparagine, glycyl-",,perrin,perrin3086,,AH
3090,N[C@@H](CC(=O)O)C(=O)O,pKAH1,2.122,1,"I=0.02 to (K1 and K2), 0.04 to 0.10 (K3)",E1a,S57,Thermodynamic quantities are derived from the results,,Aspartic acid,,perrin,perrin3090,,AH
3090,N[C@@H](CC(=O)O)C(=O)O,pKAH2,4.006,1,"I=0.02 to (K1 and K2), 0.04 to 0.10 (K3)",E1a,S57,Thermodynamic quantities are derived from the results,,Aspartic acid,,perrin,perrin3090,,AH
3090,N[C@@H](CC(=O)O)C(=O)O,pKAH1,2.054,12.5,"I=0.02 to (K1 and K2), 0.04 to 0.10 (K3)",E1a,S57,Thermodynamic quantities are derived from the results,,Aspartic acid,,perrin,perrin3090,,AH
3090,N[C@@H](CC(=O)O)C(=O)O,pKAH2,3.944,12.5,"I=0.02 to (K1 and K2), 0.04 to 0.10 (K3)",E1a,S57,Thermodynamic quantities are derived from the results,,Aspartic acid,,perrin,perrin3090,,AH
3090,N[C@@H](CC(=O)O)C(=O)O,pKAH1,1.99,25,"I=0.02 to (K1 and K2), 0.04 to 0.10 (K3)",E1a,S57,Thermodynamic quantities are derived from the results,,Aspartic acid,,perrin,perrin3090,,AH
3090,N[C@@H](CC(=O)O)C(=O)O,pKAH2,3.9,25,"I=0.02 to (K1 and K2), 0.04 to 0.10 (K3)",E1a,S57,Thermodynamic quantities are derived from the results,,Aspartic acid,,perrin,perrin3090,,AH
3090,N[C@@H](CC(=O)O)C(=O)O,pKAH2,3.895,25,(c),E1a,B26,,,Aspartic acid,,perrin,perrin3090,,AH
3090,N[C@@H](CC(=O)O)C(=O)O,pKAH3,9.842,25,(c),E1a,B26,,,Aspartic acid,,perrin,perrin3090,,AH
3096,C[N+](C)(C)c1cccc(C(=O)O)c1,pKAH1,3.217,25,"As hydrochloride, in aq. solutions","O6, R4",W33,,,m-Benzbetaine,,perrin,perrin3096,,AH
3097,C[N+](C)(C)c1ccc(C(=O)[O-])cc1,pKAH1,3.245,25,"As hydrochloride, in aq. solutions","O6, R4",W33,,,p-Benzbetaine,,perrin,perrin3097,,AH
3140,NCC(=O)O,pKAH2,10.3404,5,"(m), I=0.009 to 0.05, corrected for complex formation by Ag+","E1ch, R4",D5,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,10.0478,15,"(m), I=0.009 to 0.05, corrected for complex formation by Ag+","E1ch, R4",D5,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.7775,25,"(m), I=0.009 to 0.05, corrected for complex formation by Ag+","E1ch, R4",D5,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.5277,35,"(m), I=0.009 to 0.05, corrected for complex formation by Ag+","E1ch, R4",D5,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.2956,45,"(m), I=0.009 to 0.05, corrected for complex formation by Ag+","E1ch, R4",D5,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.4176,5,"(m), m=0.005 to 0.03, I=0.1 to3",E1b,K25,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.398,10,"(m), m=0.005 to 0.03, I=0.1 to3",E1b,K25,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3795,15,"(m), m=0.005 to 0.03, I=0.1 to3",E1b,K25,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.364,20,"(m), m=0.005 to 0.03, I=0.1 to3",E1b,K25,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3508,25,"(m), m=0.005 to 0.03, I=0.1 to3",E1b,K25,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3404,30,"(m), m=0.005 to 0.03, I=0.1 to3",E1b,K25,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3318,35,"(m), m=0.005 to 0.03, I=0.1 to3",E1b,K25,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3212,45,"(m), m=0.005 to 0.03, I=0.1 to3",E1b,K25,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3194,50,"(m), m=0.005 to 0.03, I=0.1 to3",E1b,K25,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3194,55,"(m), m=0.005 to 0.03, I=0.1 to3",E1b,K25,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3971,10,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,10.1928,10,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.38,15,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,10.0493,15,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.364,20,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.9103,20,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3503,25,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.7796,25,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3394,30,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.6517,30,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3312,35,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.53,35,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3266,40,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.4124,40,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.3242,45,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.2988,45,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.32,50,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.1887,50,"(m) I=0.004 to 0.053 (K1), 0.01 to 0.06 (K2)",E1a,K26,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.405,10,"(m) I=0.005 to 0.04 (K1), 0.01 to 0.11 (K2)",E1a,O11,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,10.205,10,"(m) I=0.005 to 0.04 (K1), 0.01 to 0.11 (K2)",E1a,O11,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.366,20,"(m) I=0.005 to 0.04 (K1), 0.01 to 0.11 (K2)",E1a,O11,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.913,20,"(m) I=0.005 to 0.04 (K1), 0.01 to 0.11 (K2)",E1a,O11,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.35,25,"(m) I=0.005 to 0.04 (K1), 0.01 to 0.11 (K2)",E1a,O11,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.778,25,"(m) I=0.005 to 0.04 (K1), 0.01 to 0.11 (K2)",E1a,O11,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.338,30,"(m) I=0.005 to 0.04 (K1), 0.01 to 0.11 (K2)",E1a,O11,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.647,30,"(m) I=0.005 to 0.04 (K1), 0.01 to 0.11 (K2)",E1a,O11,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.318,40,"(m) I=0.005 to 0.04 (K1), 0.01 to 0.11 (K2)",E1a,O11,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.406,40,"(m) I=0.005 to 0.04 (K1), 0.01 to 0.11 (K2)",E1a,O11,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH1,2.313,45,"(m) I=0.005 to 0.04 (K1), 0.01 to 0.11 (K2)",E1a,O11,,,Glycine,,perrin,perrin3140,,AH
3140,NCC(=O)O,pKAH2,9.292,45,"(m) I=0.005 to 0.04 (K1), 0.01 to 0.11 (K2)",E1a,O11,,,Glycine,,perrin,perrin3140,,AH
3141,CC(=O)NCC(=O)O,pKAH3,3.685,25,"C=0.006-0.008, I=0.002-0.5 pK for anion formation","E3ah, D3, R4",N19,,,"glycine, N-acetyl-",,perrin,perrin3141,,AH
3141,CC(=O)NCC(=O)O,pKAH3,3.6816,5,I=0.017 to 0.2,E1a,K31,Thermodynamic quantities are derived from the results,,"glycine, N-acetyl-",,perrin,perrin3141,,AH
3141,CC(=O)NCC(=O)O,pKAH3,3.6759,10,I=0.017 to 0.2,E1a,K31,Thermodynamic quantities are derived from the results,,"glycine, N-acetyl-",,perrin,perrin3141,,AH
3141,CC(=O)NCC(=O)O,pKAH3,3.6726,15,I=0.017 to 0.2,E1a,K31,Thermodynamic quantities are derived from the results,,"glycine, N-acetyl-",,perrin,perrin3141,,AH
3141,CC(=O)NCC(=O)O,pKAH3,3.6671,20,I=0.017 to 0.2,E1a,K31,Thermodynamic quantities are derived from the results,,"glycine, N-acetyl-",,perrin,perrin3141,,AH
3141,CC(=O)NCC(=O)O,pKAH3,3.6698,25,I=0.017 to 0.2,E1a,K31,Thermodynamic quantities are derived from the results,,"glycine, N-acetyl-",,perrin,perrin3141,,AH
3141,CC(=O)NCC(=O)O,pKAH3,3.6731,30,I=0.017 to 0.2,E1a,K31,Thermodynamic quantities are derived from the results,,"glycine, N-acetyl-",,perrin,perrin3141,,AH
3141,CC(=O)NCC(=O)O,pKAH3,3.6779,35,I=0.017 to 0.2,E1a,K31,Thermodynamic quantities are derived from the results,,"glycine, N-acetyl-",,perrin,perrin3141,,AH
3141,CC(=O)NCC(=O)O,pKAH3,3.6845,40,I=0.017 to 0.2,E1a,K31,Thermodynamic quantities are derived from the results,,"glycine, N-acetyl-",,perrin,perrin3141,,AH
3141,CC(=O)NCC(=O)O,pKAH3,3.6945,45,I=0.017 to 0.2,E1a,K31,Thermodynamic quantities are derived from the results,,"glycine, N-acetyl-",,perrin,perrin3141,,AH
3141,CC(=O)NCC(=O)O,pKAH3,3.7063,50,I=0.017 to 0.2,E1a,K31,Thermodynamic quantities are derived from the results,,"glycine, N-acetyl-",,perrin,perrin3141,,AH
3154,CN(C)CC(=O)O,pKAH2,10.3371,5,"(m), I=0.008 to 0.06, corrected for complex formation by Ag+","E1ch, R4",D5,Thermodynamic quantities are derived from the results,,"glycine, N,N-dimethyl-",,perrin,perrin3154,,AH
3154,CN(C)CC(=O)O,pKAH2,10.1317,15,"(m), I=0.008 to 0.06, corrected for complex formation by Ag+","E1ch, R4",D5,Thermodynamic quantities are derived from the results,,"glycine, N,N-dimethyl-",,perrin,perrin3154,,AH
3154,CN(C)CC(=O)O,pKAH2,9.94,25,"(m), I=0.008 to 0.06, corrected for complex formation by Ag+","E1ch, R4",D5,Thermodynamic quantities are derived from the results,,"glycine, N,N-dimethyl-",,perrin,perrin3154,,AH
3154,CN(C)CC(=O)O,pKAH2,9.7583,35,"(m), I=0.008 to 0.06, corrected for complex formation by Ag+","E1ch, R4",D5,Thermodynamic quantities are derived from the results,,"glycine, N,N-dimethyl-",,perrin,perrin3154,,AH
3154,CN(C)CC(=O)O,pKAH2,9.5803,45,"(m), I=0.008 to 0.06, corrected for complex formation by Ag+","E1ch, R4",D5,Thermodynamic quantities are derived from the results,,"glycine, N,N-dimethyl-",,perrin,perrin3154,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.1574,5,(m) I=0.01 to 0.10,E1a,K29,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.1495,10,(m) I=0.01 to 0.10,E1a,K29,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.1444,15,(m) I=0.01 to 0.10,E1a,K29,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.1409,20,(m) I=0.01 to 0.10,E1a,K29,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.1397,25,(m) I=0.01 to 0.10,E1a,K29,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.141,30,(m) I=0.01 to 0.10,E1a,K29,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.142,35,(m) I=0.01 to 0.10,E1a,K29,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.1459,40,(m) I=0.01 to 0.10,E1a,K29,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.1519,45,(m) I=0.01 to 0.10,E1a,K29,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.1599,50,(m) I=0.01 to 0.10,E1a,K29,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.201,1,I=0.02 to 0.05,E1a,S57,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH2,8.944,1,I=0.02 to 0.05,E1a,S57,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.166,12.5,I=0.02 to 0.05,E1a,S57,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH2,8.594,12.5,I=0.02 to 0.05,E1a,S57,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.148,25,I=0.02 to 0.05,E1a,S57,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH2,8.252,25,I=0.02 to 0.05,E1a,S57,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.148,37.5,I=0.02 to 0.05,E1a,S57,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH2,7.948,37.5,I=0.02 to 0.05,E1a,S57,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.148,50,I=0.02 to 0.05,E1a,S57,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH2,7.668,50,I=0.02 to 0.05,E1a,S57,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH1,3.083,25,"C=0.006.0.008, I=0.002.0.5","E3ah, D3, R4",N19,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3159,NCC(=O)NCC(=O)O,pKAH2,8.265,25,"C=0.006.0.008, I=0.002.0.5","E3ah, D3, R4",N19,,,"glycine, glycyl-",,perrin,perrin3159,,AH
3161,NCC(=O)NCC(=O)NCC(=O)O,pKAH1,3.225,25,"(m) I=0.006 to 0.009 (K1), 0.007 to 0.024 (K2)","E1ch, R4",E33,,,"glycine, glycylglycyl-",,perrin,perrin3161,,AH
3161,NCC(=O)NCC(=O)NCC(=O)O,pKAH2,8.09,25,"(m) I=0.006 to 0.009 (K1), 0.007 to 0.024 (K2)","E1ch, R4",E33,,,"glycine, glycylglycyl-",,perrin,perrin3161,,AH
3214,CC[C@H](C)[C@H](N)C(=O)O,pKAH1,2.365,1,"(m) I=0.02 to 0.07 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Isoleucine,,perrin,perrin3214,,AH
3214,CC[C@H](C)[C@H](N)C(=O)O,pKAH2,10.46,1,"(m) I=0.02 to 0.07 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Isoleucine,,perrin,perrin3214,,AH
3214,CC[C@H](C)[C@H](N)C(=O)O,pKAH1,2.338,12.5,"(m) I=0.02 to 0.07 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Isoleucine,,perrin,perrin3214,,AH
3214,CC[C@H](C)[C@H](N)C(=O)O,pKAH2,10.1,12.5,"(m) I=0.02 to 0.07 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Isoleucine,,perrin,perrin3214,,AH
3214,CC[C@H](C)[C@H](N)C(=O)O,pKAH1,2.318,25,"(m) I=0.02 to 0.07 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Isoleucine,,perrin,perrin3214,,AH
3214,CC[C@H](C)[C@H](N)C(=O)O,pKAH2,9.758,25,"(m) I=0.02 to 0.07 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Isoleucine,,perrin,perrin3214,,AH
3214,CC[C@H](C)[C@H](N)C(=O)O,pKAH1,2.317,37.5,"(m) I=0.02 to 0.07 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Isoleucine,,perrin,perrin3214,,AH
3214,CC[C@H](C)[C@H](N)C(=O)O,pKAH2,9.439,37.5,"(m) I=0.02 to 0.07 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Isoleucine,,perrin,perrin3214,,AH
3214,CC[C@H](C)[C@H](N)C(=O)O,pKAH1,2.332,50,"(m) I=0.02 to 0.07 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Isoleucine,,perrin,perrin3214,,AH
3214,CC[C@H](C)[C@H](N)C(=O)O,pKAH2,9.157,50,"(m) I=0.02 to 0.07 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Isoleucine,,perrin,perrin3214,,AH
3218,CC(C)C[C@H](N)C(=O)O,pKAH1,2.383,1,"I=0.02 to 0.05 (K1), 0.02 to 0.07 (K2)",E1a,S58,,,L-Leucine,,perrin,perrin3218,,AH
3218,CC(C)C[C@H](N)C(=O)O,pKAH2,10.454,1,"I=0.02 to 0.05 (K1), 0.02 to 0.07 (K2)",E1a,S58,,,L-Leucine,,perrin,perrin3218,,AH
3218,CC(C)C[C@H](N)C(=O)O,pKAH1,2.348,12.5,"I=0.02 to 0.05 (K1), 0.02 to 0.07 (K2)",E1a,S58,,,L-Leucine,,perrin,perrin3218,,AH
3218,CC(C)C[C@H](N)C(=O)O,pKAH2,10.095,12.5,"I=0.02 to 0.05 (K1), 0.02 to 0.07 (K2)",E1a,S58,,,L-Leucine,,perrin,perrin3218,,AH
3218,CC(C)C[C@H](N)C(=O)O,pKAH1,2.328,25,"I=0.02 to 0.05 (K1), 0.02 to 0.07 (K2)",E1a,S58,,,L-Leucine,,perrin,perrin3218,,AH
3218,CC(C)C[C@H](N)C(=O)O,pKAH2,9.744,25,"I=0.02 to 0.05 (K1), 0.02 to 0.07 (K2)",E1a,S58,,,L-Leucine,,perrin,perrin3218,,AH
3218,CC(C)C[C@H](N)C(=O)O,pKAH1,2.327,37.5,"I=0.02 to 0.05 (K1), 0.02 to 0.07 (K2)",E1a,S58,,,L-Leucine,,perrin,perrin3218,,AH
3218,CC(C)C[C@H](N)C(=O)O,pKAH2,9.434,37.5,"I=0.02 to 0.05 (K1), 0.02 to 0.07 (K2)",E1a,S58,,,L-Leucine,,perrin,perrin3218,,AH
3218,CC(C)C[C@H](N)C(=O)O,pKAH1,2.333,50,"I=0.02 to 0.05 (K1), 0.02 to 0.07 (K2)",E1a,S58,,,L-Leucine,,perrin,perrin3218,,AH
3218,CC(C)C[C@H](N)C(=O)O,pKAH2,9.142,50,"I=0.02 to 0.05 (K1), 0.02 to 0.07 (K2)",E1a,S58,,,L-Leucine,,perrin,perrin3218,,AH
3219,CC(C)C[C@H](NC(=O)CN)C(=O)O,pKAH1,3.1532,5,"(m), I=0.01 to 0.05",E1a,K29,Thermodynamic quantities are derived from the results,,"leucine, glycyl-",,perrin,perrin3219,,AH
3219,CC(C)C[C@H](NC(=O)CN)C(=O)O,pKAH1,3.1586,10,"(m), I=0.01 to 0.05",E1a,K29,Thermodynamic quantities are derived from the results,,"leucine, glycyl-",,perrin,perrin3219,,AH
3219,CC(C)C[C@H](NC(=O)CN)C(=O)O,pKAH1,3.1633,15,"(m), I=0.01 to 0.05",E1a,K29,Thermodynamic quantities are derived from the results,,"leucine, glycyl-",,perrin,perrin3219,,AH
3219,CC(C)C[C@H](NC(=O)CN)C(=O)O,pKAH1,3.1688,20,"(m), I=0.01 to 0.05",E1a,K29,Thermodynamic quantities are derived from the results,,"leucine, glycyl-",,perrin,perrin3219,,AH
3219,CC(C)C[C@H](NC(=O)CN)C(=O)O,pKAH1,3.18,25,"(m), I=0.01 to 0.05",E1a,K29,Thermodynamic quantities are derived from the results,,"leucine, glycyl-",,perrin,perrin3219,,AH
3219,CC(C)C[C@H](NC(=O)CN)C(=O)O,pKAH1,3.1897,30,"(m), I=0.01 to 0.05",E1a,K29,Thermodynamic quantities are derived from the results,,"leucine, glycyl-",,perrin,perrin3219,,AH
3219,CC(C)C[C@H](NC(=O)CN)C(=O)O,pKAH1,3.1998,35,"(m), I=0.01 to 0.05",E1a,K29,Thermodynamic quantities are derived from the results,,"leucine, glycyl-",,perrin,perrin3219,,AH
3219,CC(C)C[C@H](NC(=O)CN)C(=O)O,pKAH1,3.212,40,"(m), I=0.01 to 0.05",E1a,K29,Thermodynamic quantities are derived from the results,,"leucine, glycyl-",,perrin,perrin3219,,AH
3219,CC(C)C[C@H](NC(=O)CN)C(=O)O,pKAH1,3.2258,45,"(m), I=0.01 to 0.05",E1a,K29,Thermodynamic quantities are derived from the results,,"leucine, glycyl-",,perrin,perrin3219,,AH
3219,CC(C)C[C@H](NC(=O)CN)C(=O)O,pKAH1,3.2412,50,"(m), I=0.01 to 0.05",E1a,K29,Thermodynamic quantities are derived from the results,,"leucine, glycyl-",,perrin,perrin3219,,AH
3222,CC(C[C@H](N)C(=O)O)C(F)(F)F,pKAH2,8.947,25,I=0.04,E1cg,W5,,"temperature assumed (moved from temp column)","leucine, 5,5,5-trifluoro-",,perrin,perrin3222,,AH
3236,CCCC[C@H](N)C(=O)O,pKAH1,2.394,1,"(m), I=0.02 to 0.06 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Norleucine,,perrin,perrin3236,,AH
3236,CCCC[C@H](N)C(=O)O,pKAH2,10.546,1,"(m), I=0.02 to 0.06 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Norleucine,,perrin,perrin3236,,AH
3236,CCCC[C@H](N)C(=O)O,pKAH1,2.356,12.5,"(m), I=0.02 to 0.06 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Norleucine,,perrin,perrin3236,,AH
3236,CCCC[C@H](N)C(=O)O,pKAH2,10.19,12.5,"(m), I=0.02 to 0.06 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Norleucine,,perrin,perrin3236,,AH
3236,CCCC[C@H](N)C(=O)O,pKAH1,2.335,25,"(m), I=0.02 to 0.06 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Norleucine,,perrin,perrin3236,,AH
3236,CCCC[C@H](N)C(=O)O,pKAH2,9.834,25,"(m), I=0.02 to 0.06 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Norleucine,,perrin,perrin3236,,AH
3236,CCCC[C@H](N)C(=O)O,pKAH1,2.324,37.5,"(m), I=0.02 to 0.06 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Norleucine,,perrin,perrin3236,,AH
3236,CCCC[C@H](N)C(=O)O,pKAH2,9.513,37.5,"(m), I=0.02 to 0.06 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Norleucine,,perrin,perrin3236,,AH
3236,CCCC[C@H](N)C(=O)O,pKAH1,2.328,50,"(m), I=0.02 to 0.06 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Norleucine,,perrin,perrin3236,,AH
3236,CCCC[C@H](N)C(=O)O,pKAH2,9.224,50,"(m), I=0.02 to 0.06 (K1), 0.02 to 0.09 (K2)",E1a,S58,,,Norleucine,,perrin,perrin3236,,AH
3237,N[C@@H](CCCC(F)(F)F)C(=O)O,pKAH2,9.463,25,I=0.02 to 0.03,E1cg,W5,,,"Norleucine, 6,6,6-trifluoro-",,perrin,perrin3237,,AH
3238,CCC[C@H](N)C(=O)O,pKAH1,2.376,1,(m) I=0.01 to 0.09 (K1) 0.02 to 0.08 (K2),E1a,S58,,,Norvaline,,perrin,perrin3238,,AH
3238,CCC[C@H](N)C(=O)O,pKAH2,10.508,1,(m) I=0.01 to 0.09 (K1) 0.02 to 0.08 (K2),E1a,S58,,,Norvaline,,perrin,perrin3238,,AH
3238,CCC[C@H](N)C(=O)O,pKAH1,2.34,12.5,(m) I=0.01 to 0.09 (K1) 0.02 to 0.08 (K2),E1a,S58,,,Norvaline,,perrin,perrin3238,,AH
3238,CCC[C@H](N)C(=O)O,pKAH2,10.154,12.5,(m) I=0.01 to 0.09 (K1) 0.02 to 0.08 (K2),E1a,S58,,,Norvaline,,perrin,perrin3238,,AH
